Lidinoid 40%,,,,Lidinoid 50%,,,,FCC 40%,,,,FCC 50%,,,
Load,displacement,stress,strain,Load,displacement,stress,strain,Load,displacement,stress ,strain,Load,displacement,stress ,strain
18.88,14.18,11.8,0.3545,9.87,13.66,6.16875,0.3415,15.25,13.57,9.53125,0.33925,13.57,13.62,8.48125,0.3405
18.88,14.25,11.8,0.35625,9.92,13.73,6.2,0.34325,15.27,13.64,9.54375,0.341,13.59,13.69,8.49375,0.34225
18.91,14.32,11.81875,0.358,9.95,13.8,6.21875,0.345,15.34,13.71,9.5875,0.34275,13.64,13.76,8.525,0.344
18.97,14.39,11.85625,0.35975,9.95,13.87,6.21875,0.34675,15.4,13.78,9.625,0.3445,13.72,13.83,8.575,0.34575
19.04,14.46,11.9,0.3615,9.95,13.94,6.21875,0.3485,15.41,13.84,9.63125,0.346,13.75,13.9,8.59375,0.3475
19.07,14.53,11.91875,0.36325,10.02,14.01,6.2625,0.35025,15.42,13.91,9.6375,0.34775,13.76,13.97,8.6,0.34925
19.08,14.6,11.925,0.365,10.07,14.08,6.29375,0.352,15.43,13.98,9.64375,0.3495,13.77,14.04,8.60625,0.351
19.12,14.67,11.95,0.36675,10.11,14.15,6.31875,0.35375,15.45,14.05,9.65625,0.35125,13.79,14.11,8.61875,0.35275
19.2,14.74,12,0.3685,10.16,14.22,6.35,0.3555,15.51,14.12,9.69375,0.353,13.81,14.18,8.63125,0.3545
19.22,14.81,12.0125,0.37025,10.17,14.29,6.35625,0.35725,15.6,14.19,9.75,0.35475,13.83,14.25,8.64375,0.35625
19.27,14.88,12.04375,0.372,10.18,14.36,6.3625,0.359,15.64,14.26,9.775,0.3565,13.87,14.32,8.66875,0.358
19.31,14.95,12.06875,0.37375,10.2,14.43,6.375,0.36075,15.67,14.33,9.79375,0.35825,13.9,14.39,8.6875,0.35975
19.43,15.02,12.14375,0.3755,10.22,14.5,6.3875,0.3625,15.69,14.4,9.80625,0.36,13.93,14.46,8.70625,0.3615
19.55,15.09,12.21875,0.37725,10.23,14.57,6.39375,0.36425,15.72,14.47,9.825,0.36175,13.99,14.52,8.74375,0.363
19.61,15.16,12.25625,0.379,10.26,14.64,6.4125,0.366,15.74,14.55,9.8375,0.36375,14.11,14.6,8.81875,0.365
19.63,15.23,12.26875,0.38075,10.28,14.72,6.425,0.368,15.79,14.61,9.86875,0.36525,14.15,14.67,8.84375,0.36675
19.68,15.3,12.3,0.3825,10.3,14.79,6.4375,0.36975,15.84,14.69,9.9,0.36725,14.15,14.73,8.84375,0.36825
19.75,15.37,12.34375,0.38425,10.32,14.86,6.45,0.3715,15.92,14.76,9.95,0.369,14.14,14.8,8.8375,0.37
19.84,15.44,12.4,0.386,10.37,14.93,6.48125,0.37325,16.02,14.82,10.0125,0.3705,14.22,14.88,8.8875,0.372
19.89,15.51,12.43125,0.38775,10.42,15,6.5125,0.375,16.03,14.9,10.01875,0.3725,14.28,14.95,8.925,0.37375
19.92,15.58,12.45,0.3895,10.45,15.07,6.53125,0.37675,16.04,14.96,10.025,0.374,14.31,15.02,8.94375,0.3755
19.96,15.65,12.475,0.39125,10.46,15.14,6.5375,0.3785,16.07,15.03,10.04375,0.37575,14.3,15.09,8.9375,0.37725
19.99,15.72,12.49375,0.393,10.46,15.21,6.5375,0.38025,16.09,15.11,10.05625,0.37775,14.32,15.16,8.95,0.379
20.03,15.78,12.51875,0.3945,10.48,15.27,6.55,0.38175,16.14,15.18,10.0875,0.3795,14.35,15.23,8.96875,0.38075
20.11,15.86,12.56875,0.3965,10.52,15.34,6.575,0.3835,16.2,15.25,10.125,0.38125,14.36,15.3,8.975,0.3825
20.19,15.93,12.61875,0.39825,10.57,15.41,6.60625,0.38525,16.27,15.32,10.16875,0.383,14.4,15.37,9,0.38425
20.21,16,12.63125,0.4,10.61,15.48,6.63125,0.387,16.32,15.39,10.2,0.38475,14.43,15.44,9.01875,0.386
20.29,16.07,12.68125,0.40175,10.65,15.55,6.65625,0.38875,16.38,15.46,10.2375,0.3865,14.48,15.51,9.05,0.38775
20.38,16.13,12.7375,0.40325,10.67,15.62,6.66875,0.3905,16.45,15.52,10.28125,0.388,14.53,15.58,9.08125,0.3895
20.45,16.2,12.78125,0.405,10.7,15.69,6.6875,0.39225,16.49,15.59,10.30625,0.38975,14.57,15.65,9.10625,0.39125
20.51,16.27,12.81875,0.40675,10.72,15.76,6.7,0.394,16.51,15.66,10.31875,0.3915,14.6,15.72,9.125,0.393
20.55,16.35,12.84375,0.40875,10.77,15.83,6.73125,0.39575,16.54,15.73,10.3375,0.39325,14.64,15.79,9.15,0.39475
20.63,16.41,12.89375,0.41025,10.82,15.9,6.7625,0.3975,16.62,15.8,10.3875,0.395,14.71,15.86,9.19375,0.3965
20.68,16.49,12.925,0.41225,10.83,15.97,6.76875,0.39925,16.76,15.87,10.475,0.39675,14.78,15.93,9.2375,0.39825
20.72,16.56,12.95,0.414,10.83,16.04,6.76875,0.401,16.81,15.94,10.50625,0.3985,14.85,16,9.28125,0.4
20.78,16.62,12.9875,0.4155,10.86,16.11,6.7875,0.40275,16.84,16.01,10.525,0.40025,14.87,16.07,9.29375,0.40175
20.85,16.69,13.03125,0.41725,10.93,16.18,6.83125,0.4045,16.87,16.08,10.54375,0.402,14.92,16.14,9.325,0.4035
20.89,16.76,13.05625,0.419,10.96,16.25,6.85,0.40625,16.91,16.15,10.56875,0.40375,14.97,16.21,9.35625,0.40525
20.95,16.83,13.09375,0.42075,11.02,16.32,6.8875,0.408,16.96,16.22,10.6,0.4055,15.05,16.28,9.40625,0.407
21.05,16.9,13.15625,0.4225,11.02,16.39,6.8875,0.40975,17.01,16.29,10.63125,0.40725,15.1,16.35,9.4375,0.40875
21.14,16.97,13.2125,0.42425,11.03,16.45,6.89375,0.41125,17.03,16.36,10.64375,0.409,15.12,16.42,9.45,0.4105
21.22,17.04,13.2625,0.426,11.09,16.52,6.93125,0.413,17.07,16.43,10.66875,0.41075,15.15,16.49,9.46875,0.41225
21.28,17.11,13.3,0.42775,11.14,16.59,6.9625,0.41475,17.13,16.5,10.70625,0.4125,15.16,16.56,9.475,0.414
21.35,17.18,13.34375,0.4295,11.18,16.66,6.9875,0.4165,17.17,16.57,10.73125,0.41425,15.2,16.63,9.5,0.41575
21.44,17.25,13.4,0.43125,11.21,16.73,7.00625,0.41825,17.22,16.64,10.7625,0.416,15.24,16.7,9.525,0.4175
21.47,17.32,13.41875,0.433,11.24,16.8,7.025,0.42,17.33,16.71,10.83125,0.41775,15.31,16.77,9.56875,0.41925
21.51,17.39,13.44375,0.43475,11.27,16.87,7.04375,0.42175,17.42,16.78,10.8875,0.4195,15.35,16.84,9.59375,0.421
21.59,17.46,13.49375,0.4365,11.31,16.94,7.06875,0.4235,17.45,16.85,10.90625,0.42125,15.41,16.91,9.63125,0.42275
21.66,17.53,13.5375,0.43825,11.35,17.01,7.09375,0.42525,17.5,16.92,10.9375,0.423,15.44,16.98,9.65,0.4245
21.76,17.6,13.6,0.44,11.36,17.08,7.1,0.427,17.6,16.99,11,0.42475,15.54,17.05,9.7125,0.42625
21.83,17.67,13.64375,0.44175,11.39,17.15,7.11875,0.42875,17.64,17.06,11.025,0.4265,15.62,17.12,9.7625,0.428
21.9,17.74,13.6875,0.4435,11.46,17.22,7.1625,0.4305,17.7,17.13,11.0625,0.42825,15.65,17.19,9.78125,0.42975
21.95,17.81,13.71875,0.44525,11.48,17.29,7.175,0.43225,17.76,17.2,11.1,0.43,15.65,17.26,9.78125,0.4315
22.04,17.88,13.775,0.447,11.51,17.37,7.19375,0.43425,17.82,17.27,11.1375,0.43175,15.65,17.33,9.78125,0.43325
22.15,17.95,13.84375,0.44875,11.56,17.43,7.225,0.43575,17.89,17.34,11.18125,0.4335,15.72,17.4,9.825,0.435
22.25,18.02,13.90625,0.4505,11.66,17.5,7.2875,0.4375,17.97,17.41,11.23125,0.43525,15.81,17.47,9.88125,0.43675
22.28,18.09,13.925,0.45225,11.69,17.57,7.30625,0.43925,18.04,17.48,11.275,0.437,15.86,17.54,9.9125,0.4385
22.32,18.16,13.95,0.454,11.7,17.64,7.3125,0.441,18.1,17.55,11.3125,0.43875,15.88,17.61,9.925,0.44025
22.43,18.23,14.01875,0.45575,11.7,17.71,7.3125,0.44275,18.15,17.62,11.34375,0.4405,15.92,17.68,9.95,0.442
22.54,18.3,14.0875,0.4575,11.76,17.78,7.35,0.4445,18.18,17.69,11.3625,0.44225,15.95,17.75,9.96875,0.44375
22.63,18.37,14.14375,0.45925,11.81,17.85,7.38125,0.44625,18.3,17.76,11.4375,0.444,16.01,17.82,10.00625,0.4455
22.71,18.44,14.19375,0.461,11.87,17.92,7.41875,0.448,18.38,17.83,11.4875,0.44575,16.08,17.89,10.05,0.44725
22.79,18.51,14.24375,0.46275,11.93,17.99,7.45625,0.44975,18.41,17.9,11.50625,0.4475,16.15,17.96,10.09375,0.449
22.86,18.58,14.2875,0.4645,11.98,18.06,7.4875,0.4515,18.5,18.01,11.5625,0.45025,16.23,18.03,10.14375,0.45075
22.96,18.65,14.35,0.46625,12.02,18.09,7.5125,0.45225,18.65,18.04,11.65625,0.451,16.32,18.1,10.2,0.4525
23.11,18.72,14.44375,0.468,12.05,18.17,7.53125,0.45425,18.72,18.1,11.7,0.4525,16.4,18.17,10.25,0.45425
23.21,18.79,14.50625,0.46975,12.13,18.24,7.58125,0.456,18.74,18.17,11.7125,0.45425,16.42,18.24,10.2625,0.456
23.28,18.86,14.55,0.4715,12.18,18.31,7.6125,0.45775,18.8,18.25,11.75,0.45625,16.47,18.31,10.29375,0.45775
23.36,18.93,14.6,0.47325,12.21,18.38,7.63125,0.4595,18.87,18.32,11.79375,0.458,16.54,18.38,10.3375,0.4595
,,,,12.25,18.45,7.65625,0.46125,18.97,18.39,11.85625,0.45975,16.59,18.49,10.36875,0.46225
,,,,12.28,18.52,7.675,0.463,19.05,18.46,11.90625,0.4615,16.62,18.52,10.3875,0.463
,,,,12.3,18.59,7.6875,0.46475,19.13,18.53,11.95625,0.46325,16.7,18.59,10.4375,0.46475
,,,,12.35,18.66,7.71875,0.4665,19.2,18.6,12,0.465,16.78,18.66,10.4875,0.4665
,,,,12.46,18.77,7.7875,0.46925,19.27,18.67,12.04375,0.46675,16.85,18.73,10.53125,0.46825
,,,,12.52,18.8,7.825,0.47,19.33,18.74,12.08125,0.4685,16.9,18.8,10.5625,0.47
,,,,12.55,18.87,7.84375,0.47175,19.44,18.81,12.15,0.47025,16.98,18.87,10.6125,0.47175
,,,,12.58,18.94,7.8625,0.4735,19.53,18.88,12.20625,0.472,17.05,18.94,10.65625,0.4735
,,,,12.65,19.01,7.90625,0.47525,19.59,18.95,12.24375,0.47375,17.1,19.01,10.6875,0.47525
,,,,12.76,19.08,7.975,0.477,19.69,19.02,12.30625,0.4755,17.17,19.08,10.73125,0.477
,,,,12.84,19.15,8.025,0.47875,19.88,19.09,12.425,0.47725,17.29,19.15,10.80625,0.47875
,,,,12.86,19.22,8.0375,0.4805,20.03,19.16,12.51875,0.479,17.43,19.22,10.89375,0.4805
,,,,12.93,19.29,8.08125,0.48225,20.12,19.23,12.575,0.48075,17.52,19.29,10.95,0.48225
,,,,13.02,19.36,8.1375,0.484,20.2,19.3,12.625,0.4825,17.6,19.36,11,0.484
,,,,13.08,19.43,8.175,0.48575,20.26,19.37,12.6625,0.48425,17.66,19.43,11.0375,0.48575
,,,,13.13,19.5,8.20625,0.4875,20.36,19.44,12.725,0.486,17.73,19.5,11.08125,0.4875
,,,,13.17,19.57,8.23125,0.48925,20.45,19.51,12.78125,0.48775,17.85,19.57,11.15625,0.48925
,,,,13.23,19.64,8.26875,0.491,20.53,19.58,12.83125,0.4895,18,19.64,11.25,0.491
,,,,13.3,19.71,8.3125,0.49275,20.61,19.64,12.88125,0.491,18.09,19.71,11.30625,0.49275
,,,,13.36,19.78,8.35,0.4945,20.72,19.71,12.95,0.49275,18.12,19.78,11.325,0.4945
,,,,13.41,19.85,8.38125,0.49625,20.82,19.78,13.0125,0.4945,18.19,19.85,11.36875,0.49625
,,,,13.51,19.92,8.44375,0.498,20.92,19.85,13.075,0.49625,18.31,19.91,11.44375,0.49775
,,,,13.61,19.99,8.50625,0.49975,21.04,19.91,13.15,0.49775,18.44,19.98,11.525,0.4995
,,,,13.68,20.06,8.55,0.5015,21.15,19.98,13.21875,0.4995,18.53,20.06,11.58125,0.5015
,,,,13.73,20.13,8.58125,0.50325,21.22,20.05,13.2625,0.50125,18.63,20.12,11.64375,0.503
,,,,13.79,20.2,8.61875,0.505,21.32,20.12,13.325,0.503,18.74,20.19,11.7125,0.50475
,,,,13.88,20.27,8.675,0.50675,21.47,20.19,13.41875,0.50475,18.87,20.26,11.79375,0.5065
,,,,13.97,20.34,8.73125,0.5085,21.54,20.26,13.4625,0.5065,18.94,20.33,11.8375,0.50825
,,,,14.1,20.4,8.8125,0.51,21.59,20.33,13.49375,0.50825,19.02,20.4,11.8875,0.51
,,,,14.2,20.47,8.875,0.51175,21.69,20.4,13.55625,0.51,19.13,20.47,11.95625,0.51175
,,,,14.28,20.54,8.925,0.5135,21.8,20.47,13.625,0.51175,19.24,20.54,12.025,0.5135
,,,,14.37,20.61,8.98125,0.51525,21.92,20.54,13.7,0.5135,19.38,20.61,12.1125,0.51525
,,,,14.43,20.68,9.01875,0.517,22.02,20.61,13.7625,0.51525,19.48,20.69,12.175,0.51725
,,,,14.55,20.75,9.09375,0.51875,22.15,20.68,13.84375,0.517,19.54,20.76,12.2125,0.519
,,,,14.67,20.82,9.16875,0.5205,22.3,20.75,13.9375,0.51875,19.63,20.83,12.26875,0.52075
,,,,14.76,20.89,9.225,0.52225,22.4,20.82,14,0.5205,19.75,20.9,12.34375,0.5225
,,,,14.85,20.96,9.28125,0.524,22.5,20.89,14.0625,0.52225,19.87,20.96,12.41875,0.524
,,,,14.93,21.03,9.33125,0.52575,22.66,20.96,14.1625,0.524,19.89,21.04,12.43125,0.526
,,,,15.01,21.1,9.38125,0.5275,22.79,21.03,14.24375,0.52575,19.98,21.1,12.4875,0.5275
,,,,15.12,21.17,9.45,0.52925,22.9,21.1,14.3125,0.5275,20.14,21.17,12.5875,0.52925
,,,,15.28,21.24,9.55,0.531,23.02,21.17,14.3875,0.52925,20.3,21.24,12.6875,0.531
,,,,15.41,21.31,9.63125,0.53275,23.18,21.24,14.4875,0.531,20.46,21.31,12.7875,0.53275
,,,,15.48,21.38,9.675,0.5345,23.28,21.31,14.55,0.53275,20.61,21.38,12.88125,0.5345
,,,,15.6,21.45,9.75,0.53625,,,,,20.68,21.45,12.925,0.53625
,,,,15.75,21.52,9.84375,0.538,,,,,20.75,21.52,12.96875,0.538
,,,,15.87,21.59,9.91875,0.53975,,,,,20.8,21.59,13,0.53975
,,,,16.03,21.7,10.01875,0.5425,,,,,20.9,21.66,13.0625,0.5415
,,,,16.12,21.73,10.075,0.54325,,,,,21,21.73,13.125,0.54325
,,,,16.2,21.8,10.125,0.545,,,,,21.11,21.8,13.19375,0.545
,,,,16.33,21.87,10.20625,0.54675,,,,,21.21,21.87,13.25625,0.54675
,,,,16.48,21.94,10.3,0.5485,,,,,21.31,21.94,13.31875,0.5485
,,,,16.61,22.01,10.38125,0.55025,,,,,21.4,22.01,13.375,0.55025
,,,,16.72,22.08,10.45,0.552,,,,,21.51,22.08,13.44375,0.552
,,,,16.85,22.15,10.53125,0.55375,,,,,21.65,22.15,13.53125,0.55375
,,,,16.97,22.22,10.60625,0.5555,,,,,21.74,22.22,13.5875,0.5555
,,,,17.1,22.29,10.6875,0.55725,,,,,21.8,22.3,13.625,0.5575
,,,,17.27,22.36,10.79375,0.559,,,,,21.9,22.37,13.6875,0.55925
,,,,17.45,22.43,10.90625,0.56075,,,,,22.09,22.43,13.80625,0.56075
,,,,17.68,22.5,11.05,0.5625,,,,,22.2,22.51,13.875,0.56275
,,,,17.87,22.57,11.16875,0.56425,,,,,22.29,22.57,13.93125,0.56425
,,,,17.98,22.64,11.2375,0.566,,,,,22.39,22.64,13.99375,0.566
,,,,18.07,22.71,11.29375,0.56775,,,,,22.46,22.71,14.0375,0.56775
,,,,18.26,22.78,11.4125,0.5695,,,,,22.57,22.78,14.10625,0.5695
,,,,18.44,22.85,11.525,0.57125,,,,,22.68,22.85,14.175,0.57125
,,,,18.64,22.92,11.65,0.573,,,,,22.81,22.92,14.25625,0.573
,,,,18.84,22.99,11.775,0.57475,,,,,22.93,22.99,14.33125,0.57475
,,,,19.02,23.06,11.8875,0.5765,,,,,,,,
,,,,19.21,23.13,12.00625,0.57825,,,,,,,,
,,,,19.38,23.2,12.1125,0.58,,,,,,,,
,,,,19.54,23.27,12.2125,0.58175,,,,,,,,
,,,,19.74,23.34,12.3375,0.5835,,,,,,,,
,,,,19.98,23.41,12.4875,0.58525,,,,,,,,
,,,,20.18,23.48,12.6125,0.587,,,,,,,,
,,,,20.37,23.55,12.73125,0.58875,,,,,,,,
,,,,20.6,23.62,12.875,0.5905,,,,,,,,
,,,,20.86,23.69,13.0375,0.59225,,,,,,,,
,,,,21.08,23.76,13.175,0.594,,,,,,,,
,,,,21.31,23.83,13.31875,0.59575,,,,,,,,
,,,,21.5,23.9,13.4375,0.5975,,,,,,,,
,,,,21.68,23.97,13.55,0.59925,,,,,,,,
,,,,21.94,24.04,13.7125,0.601,,,,,,,,
,,,,22.27,24.11,13.91875,0.60275,,,,,,,,
,,,,22.51,24.18,14.06875,0.6045,,,,,,,,
,,,,22.67,24.25,14.16875,0.60625,,,,,,,,
,,,,22.83,24.32,14.26875,0.608,,,,,,,,
,,,,23.13,24.39,14.45625,0.60975,,,,,,,,
,,,,23.44,24.46,14.65,0.6115,,,,,,,,
